show_id,type,title,country,date_added,release_year,rating,listed_in,Date,Open,High,Low,Close,Adj_close,Volume
s6349,Movie,Bob's Broken Sleigh,Canada,12/17/2015,2015,TV-G,Children & Family Movies,12/16/2015,119.8,123,118.09,122.64,122.64,13181000
s5879,Movie,Mike Epps: Don't Take It Personal,United States,12/18/2015,2015,TV-MA,Stand-Up Comedy,12/17/2015,123.97,126.35,122.42,122.51,122.51,17284900
s7293,Movie,Leo the Lion,"United States, Italy",12/20/2015,2013,TV-Y7-FV,"Children & Family Movies, Comedies",12/18/2015,120.85,122.19,117.92,118.02,118.02,17948100
s7378,Movie,Magic Snowflake,"France, Belgium",12/20/2015,2013,TV-Y,Children & Family Movies,12/21/2015,119.51,119.59,115.66,116.63,116.63,11670000
s7935,Movie,Santa's Apprentice,"Australia, France, Ireland",12/20/2015,2010,TV-G,Children & Family Movies,12/22/2015,117.3,117.43,114.86,116.24,116.24,9689000
s5878,TV Show,Sammy & Co,France,12/25/2015,2014,TV-Y,"Kids' TV, TV Comedies",12/23/2015,116.91,118.56,115.78,118.16,118.16,9324300
s8558,TV Show,The West Wing,United States,12/25/2015,2005,TV-14,TV Dramas,12/24/2015,118.22,118.8,117.3,117.33,117.33,3531300
s5877,Movie,Marco Polo: One Hundred Eyes,United States,12/26/2015,2015,TV-MA,Movies,12/28/2015,117.26,117.35,113.85,117.11,117.11,8424300
s6748,Movie,Fifty,Nigeria,12/28/2015,2015,NR,"Dramas, International Movies",12/29/2015,118.19,119.6,116.92,119.12,119.12,8159200
s6253,TV Show,Battle Creek,United States,12/31/2015,2015,TV-14,"Crime TV Shows, TV Comedies, TV Dramas",12/30/2015,118.95,119.02,116.43,116.71,116.71,8149700
s7629,TV Show,Nurse Jackie,United States,12/31/2015,2015,TV-MA,"TV Comedies, TV Dramas",12/31/2015,116.21,117.46,114.28,114.38,114.38,9273000
s6302,TV Show,Big Bad Beetleborgs,"United States, France, Japan",1/1/2016,1997,TV-G,"Kids' TV, TV Comedies",1/4/2016,109,110,105.21,109.96,109.96,20794800
s7017,Movie,How to Change the World,"Canada, United Kingdom, Netherlands",1/1/2016,2015,NR,"Documentaries, International Movies",1/5/2016,110.45,110.58,105.85,107.66,107.66,17664600
s7456,TV Show,Mighty Morphin Alien Rangers,,1/1/2016,1996,TV-Y7,Kids' TV,1/6/2016,105.29,117.91,104.96,117.68,117.68,33045700
s7590,TV Show,Ninja Turtles: The Next Mutation,"Canada, United States",1/1/2016,1997,TV-G,"Kids' TV, TV Comedies",1/7/2016,116.36,122.18,112.29,114.56,114.56,33636700
s7764,TV Show,Power Rangers Dino Thunder,United States,1/1/2016,2004,TV-Y7,Kids' TV,1/8/2016,116.33,117.72,111.1,111.39,111.39,18067100
s7765,TV Show,Power Rangers in Space,"United States, France, Japan",1/1/2016,1998,TV-Y7,Kids' TV,1/11/2016,112.13,116.79,111.2,114.97,114.97,21920400
s7766,TV Show,Power Rangers Jungle Fury,United States,1/1/2016,2008,TV-Y7,Kids' TV,1/12/2016,116.11,117.78,115.08,116.58,116.58,15133500
